datetime,T_IEQ1,PIR_IEQ1,Lx_IEQ1,H_IEQ1,CO2_IEQ1,CO2_CEIL1,H_CEIL1,Lx_CEIL1,PIR_CEIL1,T_CEIL1,CO2_CEIL2,H_CEIL2,Lx_CEIL2,PIR_CEIL2,T_CEIL2,CO2_IEQ2,H_IEQ2,Lx_IEQ2,PIR_IEQ2,T_IEQ2,CO2_IEQ3,H_IEQ3,Lx_IEQ3,PIR_IEQ3,T_IEQ3,T_IEQ4,PIR_IEQ4,Lx_IEQ4,H_IEQ4,CO2_IEQ4,T_WR1,CO2_WR1,H_WR1,Lx_WR1,PIR_WR1,CO2_WR2,H_WR2,Lx_WR2,PIR_WR2,T_WR2,CO2_WR3,H_WR3,Lx_WR3,PIR_WR3,T_WR3,CO2_WR4,H_WR4,Lx_WR4,PIR_WR4,T_WR4,CO2_WR5,H_WR5,Lx_WR5,PIR_WR5,T_WR5,CO2_WR6,H_WR6,Lx_WR6,PIR_WR6,T_WR6,CO2_WR7,H_WR7,Lx_WR7,PIR_WR7,T_WR7,CO2_WR8,H_WR8,Lx_WR8,PIR_WR8,T_WR8,PAX_WR_RESPONSES
2025-08-07 00:01:35+00:00,24.5,0,0,48,493.0,479.0,50.0,0.0,0.0,23.7,,,,,,416.0,43.0,0.0,0.0,24.7,408.0,52.0,0.0,0.0,19.7,19.8,0.0,0.0,48.0,437.0,24.3,513.0,47.0,0.0,0.0,,,,,,478.0,47.0,1.0,0.0,25.1,457.0,46.0,1.0,0.0,23.8,403.0,50.0,2.0,0.0,20.0,,,,,,,,,,,427.0,49.0,0.0,0.0,19.9,
2025-08-07 00:11:35+00:00,24.4,0,0,48,498.0,479.0,50.0,0.0,0.0,23.7,479.0,44.0,2.0,0.0,23.2,433.0,43.0,0.0,0.0,24.8,,,,,,19.8,0.0,0.0,48.0,423.0,24.3,519.0,47.0,0.0,0.0,357.0,51.0,0.0,0.0,19.9,478.0,47.0,1.0,0.0,25.1,464.0,46.0,1.0,0.0,23.8,,,,,,,,,,,509.0,43.0,0.0,0.0,24.8,457.0,49.0,0.0,0.0,19.9,
2025-08-07 00:21:35+00:00,24.4,0,0,48,484.0,486.0,50.0,0.0,0.0,23.7,467.0,44.0,2.0,0.0,23.1,431.0,43.0,0.0,0.0,24.7,421.0,52.0,0.0,0.0,19.7,,,,,,24.3,517.0,47.0,0.0,0.0,,,,,,486.0,47.0,1.0,0.0,25.1,472.0,46.0,1.0,0.0,23.7,396.0,51.0,2.0,0.0,19.9,,,,,,508.0,43.0,0.0,0.0,24.7,458.0,49.0,0.0,0.0,19.9,
2025-08-07 00:31:35+00:00,24.4,0,94,48,482.0,488.0,50.0,0.0,0.0,23.7,468.0,45.0,2.0,0.0,23.1,436.0,43.0,0.0,0.0,24.7,432.0,52.0,0.0,0.0,19.7,19.7,0.0,0.0,49.0,443.0,24.3,503.0,47.0,0.0,0.0,356.0,51.0,0.0,0.0,19.8,483.0,47.0,1.0,0.0,25.1,451.0,46.0,1.0,0.0,23.7,408.0,51.0,2.0,0.0,19.9,,,,,,512.0,43.0,0.0,0.0,24.7,447.0,49.0,0.0,0.0,19.9,
2025-08-07 00:41:35+00:00,24.4,0,69,48,490.0,490.0,50.0,0.0,0.0,23.7,465.0,45.0,2.0,0.0,23.0,442.0,43.0,0.0,0.0,24.7,413.0,52.0,0.0,0.0,19.6,,,,,,24.3,496.0,47.0,0.0,0.0,350.0,52.0,0.0,0.0,19.8,475.0,47.0,1.0,0.0,25.1,471.0,46.0,1.0,0.0,23.7,,,,,,,,,,,528.0,43.0,0.0,0.0,24.7,455.0,49.0,0.0,0.0,19.8,
2025-08-07 00:51:35+00:00,24.4,0,3,48,501.0,485.0,50.0,0.0,0.0,23.6,467.0,45.0,1.0,0.0,22.9,426.0,43.0,0.0,0.0,24.6,421.0,52.0,1.0,0.0,19.6,19.7,0.0,0.0,49.0,427.0,24.3,511.0,47.0,0.0,0.0,367.0,51.0,0.0,0.0,19.8,483.0,47.0,1.0,0.0,25.0,457.0,47.0,1.0,0.0,23.7,404.0,51.0,2.0,0.0,19.9,,,,,,511.0,43.0,0.0,0.0,24.7,440.0,49.0,0.0,0.0,19.9,
2025-08-07 01:01:35+00:00,24.3,0,0,48,502.0,484.0,50.0,0.0,0.0,23.6,467.0,45.0,1.0,0.0,22.9,449.0,43.0,0.0,0.0,24.7,,,,,,19.7,0.0,0.0,49.0,434.0,24.3,509.0,47.0,0.0,0.0,357.0,51.0,0.0,0.0,19.8,483.0,47.0,1.0,0.0,25.0,478.0,47.0,1.0,0.0,23.7,396.0,51.0,2.0,0.0,19.9,,,,,,517.0,43.0,0.0,0.0,24.7,447.0,49.0,0.0,0.0,19.8,
2025-08-07 01:11:35+00:00,24.3,0,0,48,499.0,480.0,50.0,0.0,0.0,23.6,463.0,45.0,2.0,0.0,22.8,433.0,43.0,0.0,0.0,24.7,428.0,52.0,0.0,0.0,19.6,19.7,0.0,0.0,49.0,421.0,24.2,507.0,46.0,0.0,0.0,352.0,51.0,0.0,0.0,19.8,491.0,46.0,1.0,0.0,25.1,462.0,47.0,1.0,0.0,23.6,404.0,51.0,2.0,0.0,19.9,,,,,,522.0,43.0,0.0,0.0,24.7,447.0,49.0,0.0,0.0,19.8,
2025-08-07 01:21:35+00:00,24.3,0,0,48,499.0,487.0,50.0,0.0,0.0,23.6,479.0,45.0,1.0,0.0,22.8,435.0,43.0,0.0,0.0,24.6,,,,,,19.7,0.0,0.0,48.0,439.0,24.2,521.0,46.0,0.0,0.0,360.0,51.0,0.0,0.0,19.8,474.0,45.0,1.0,0.0,25.0,461.0,47.0,1.0,0.0,23.6,400.0,51.0,2.0,0.0,19.9,,,,,,530.0,43.0,0.0,0.0,24.6,459.0,49.0,0.0,0.0,19.8,
2025-08-07 01:31:35+00:00,24.3,0,0,48,495.0,473.0,50.0,0.0,0.0,23.5,464.0,45.0,2.0,0.0,22.8,437.0,43.0,0.0,0.0,24.6,425.0,52.0,1.0,0.0,19.5,19.6,0.0,0.0,48.0,445.0,24.1,499.0,45.0,0.0,0.0,359.0,51.0,0.0,0.0,19.8,489.0,45.0,1.0,0.0,24.9,,,,,,406.0,51.0,2.0,0.0,19.9,,,,,,497.0,43.0,0.0,0.0,24.6,439.0,49.0,0.0,0.0,19.8,
